country Name,state name,city name
India,Gujarat,Ahmedabad
India,Gujarat,Surat
India,Gujarat,Vadodara
India,Gujarat,Rajkot
India,Gujarat,Gandhinagar
India,Gujarat,Jamnagar
India,Gujarat,Junagadh
India,Gujarat,Bhavnagar
India,Gujarat,Bhuj 
India,Gujarat,Navsari
India,Gujarat,Dwarka
India,Gujarat,Anand
India,Gujarat,Patan
India,Gujarat,Gandhidham
India,Gujarat,Nadiad
India,Gujarat,Khambhat
India,Gujarat,Ankleshwar
India,Gujarat,Palitana
India,Gujarat,Porbandar
India,Gujarat,Veraval
India,Gujarat,Morbi
India,Gujarat,Vapi
India,Gujarat,Godhra
India,Gujarat,Gondal
India,Gujarat,Palanpur
India,Gujarat,Vyara 
India,Gujarat,Bharuch 
India,Gujarat,Mehsana
India,Gujarat,Bardoli
India,Gujarat,Jetpur
India,Gujarat,Amreli
India,Delhi,New Delhi
India,Delhi,Gurgaon
India,Delhi,Connaught
India,Delhi,Karol Bagh
India,Delhi,Mehrauli 
India,Delhi,Chanakyapuri 
India,Delhi,Ghaziabad
India,Delhi,Dwarka
India,Delhi,Nangloi
India,Delhi,Faridabad
India,Delhi,Shahdara
India,Delhi,Najafgarh 
India,Delhi,Rohini
India,Delhi,Shalimar Bagh 
India,Maharashtra,Mumbai
India,Maharashtra,Nashik 
India,Maharashtra,Aurangabad
India,Maharashtra,Nagpur 
India,Maharashtra,Solapur
India,Maharashtra,Thane
India,Maharashtra,Kalyan 
India,Maharashtra,Navi Mumbai 
India,Maharashtra,Kolhapur
India,Maharashtra,Pimpri-Chinchwad
India,Maharashtra,Dombivli 
India,Maharashtra,Malegaon
India,Maharashtra,Vasai-Virar
India,Maharashtra,Jalgaon
India,Maharashtra,Panvel
India,Maharashtra,Nagpur
India,Rajasthan,Jaipur
India,Rajasthan,Udaipur
India,Rajasthan,Jodhpur
India,Rajasthan,Kota 
India,Rajasthan,Bikaner 
India,Rajasthan,Ajmer 
India,Rajasthan,Alwar
India,Rajasthan,Jaisalmer 
India,Rajasthan,Chittorgarh
India,Rajasthan,Kishangarh 
India,Rajasthan,Pushkar
India,Rajasthan,Beawar
India,Rajasthan,Bharatpur 
India,Rajasthan,Amer
India,Rajasthan,Bundi
India,Rajasthan,Bilara 
India,Rajasthan,Nathdwara 
India,Rajasthan,Abu 
India,Madhya Pradesh,Bhopal
India,Madhya Pradesh,Indore 
India,Madhya Pradesh,Jabalpur 
India,Madhya Pradesh,Ujjain 
India,Madhya Pradesh,Gwalior
India,Madhya Pradesh,Satna 
India,Madhya Pradesh,Panna
India,Madhya Pradesh,Rewa
India,Madhya Pradesh,Hosangabad
India,Jammu and Kashmir,Jammu
India,Jammu and Kashmir,Srinagar
India,Jammu and Kashmir,Leh Ladakh
India,Jammu and Kashmir,Gulmarg
India,Jammu and Kashmir,Sonamarg
India,Jammu and Kashmir,Pahalgam
India,Goa,Panaji
India,Goa,Margao 
India,Goa,Calangute 
India,Goa,Mapusa
India,Goa,Ponda
India,Goa,Candolim
India,Goa,Old Goa
India,Goa,Anjuna 
India,Goa,Baga
India,Goa,Canacona 
India,Goa,Bardez 
India,Goa,Mormugao
India,Goa,Salcete
India,Goa,Colva
India,Sikkim,Gangtok
India,Sikkim,Namchi 
India,Sikkim,Pelling
India,Sikkim,Gyalshing 
India,Sikkim,Lachung
India,Sikkim,Yuksom 
India,Sikkim,Ravangla
India,Sikkim,Jorethang
India,Sikkim,Singtam
India,Sikkim,Rangpo 
India,Sikkim,Rinchenpong
India,Sikkim,Zuluk 
